1	100
10	5
100	9
1000	4
10000	19
10001	10
10002	5
10003	11
10004	6
10006	36
10010	136
10011	6
10012	5
10013	269
10014	3
10015	33
10016	1
10019	10
10021	62
10022	46
10023	3
10024	32
10026	178
10029	439
10030	60
10031	2
10032	51
10034	4
10035	9
10036	496
10037	70
10038	1
10039	2
10040	8
10042	8
10043	2
10044	9
10045	13
10046	2
10047	6
10049	20
10050	13
10051	6
10052	2
10053	17
10054	97
10055	4
10056	8
10058	5
10061	4
10063	8
10064	2
10066	148
10067	1
10069	3
10070	2
10071	10
10073	18
10074	5
10076	1
10080	4
10081	2
10082	2
10084	9
10085	16
10088	28
10089	9
10091	211
10094	97
10096	12
10097	4
10098	108
10099	17
101	7
10100	24
10101	14
10102	5
10103	130
10105	14
10106	2
10108	1
10109	1
10110	3
10112	2
10113	178
10115	5
10116	2
10118	75
10120	2
10121	1
10125	2
10126	11
10127	3
10128	7
10129	8
1013	1
10130	2
10131	24
10133	1
10135	9
10137	19
10138	3
10139	148
10141	1
10143	326
10145	12
10146	2
10148	18
10150	3
10151	2
10152	5
10156	3
10158	24
10159	33
10160	64
10161	1
10162	2
10164	41
10165	8
10166	5
10167	15
10169	8
10170	2
10171	29
10173	2
10174	2
10175	51
10176	23
10177	2
10178	7
10179	4
10180	1
10181	3
10182	5
10183	5
10184	2
10185	22
10187	3
10189	6
10190	19
10192	5
10193	2
10194	1
10195	3
10196	5
10197	1
10198	2
10199	120
102	4
10200	4
10201	506
10202	2
10203	2
10204	28
10205	3
10206	5
10207	11
10208	10
10209	4
10212	26
10213	1
10215	7
10217	10
10218	2
10219	28
10220	14
10221	2
10222	2
10223	68
10225	30
10226	46
10227	2
10229	22
10230	2
10231	7
10232	1
10234	7
10235	51
10236	1
10238	21
10240	3
10242	28
10247	30
10248	1
10249	6
10250	2
10255	7
10259	3
10261	3
10264	19
10265	23
10269	69
10271	19
10273	10
10274	1
10277	9
10278	12
10279	57
10286	6
10288	2
10292	58
10294	1
10297	15
10298	15
10299	80
103	24
10302	5
10309	12
10310	102
10317	7
10318	275
10320	2
10322	3
10325	4
10326	5
10329	1
10333	10
10337	3
10340	6
10343	3
10347	1
10348	1
10349	6
10352	6
10355	14
10357	1
10359	2
10361	71
10362	3
10364	3
10367	4
10370	5
10377	1
10379	1
10381	11
10384	15
10386	1
10388	2
10390	1
10391	1
10392	2
10393	19
10396	69
10397	65
104	20
10400	4
